,Identifier
160000,6921847132697774850
160001,6785962569191508738
160002,6810196009038138113
160003,6909576791581625090
160004,6912439555220097793
160005,6907896657455696641
160006,6913855233932233474
160007,6910928711910951682
160008,6917482472385170178
160009,6996560788282493723
160010,6912397208319052546
160011,6916351412565723905
160012,7041007626326477595
160013,6912762951128599298
160014,7021654362837485569
160015,7047062088594459393
160016,6876973082498894594
160017,6907012360582580997
160018,6911530823992871682
160019,6898691951374240514
160020,6597330509603293189
160021,6684786789120477185
160022,313929872446373889
160023,6835002975958616838
160024,6835638448645278470
160025,7012284328814398213
160026,7066987121327835910
160027,6914402590256368390
160028,7093593424011512581
160029,6906323749625547526
160030,6913004078050134790
160031,6910299677619686149
160032,6910560455270370053
160033,6907785846469004038
160034,6912195068359166726
160035,6906865047230745349
160036,6912869576879409925
160037,6908059891231984390
160038,6911428455439567621
160039,6907304348985264898
160040,6915559090634705670
160041,6909617448308329222
160042,7088039601138338566
160043,6908112328387021574
160044,6914766976187403009
160045,6905565203015011078
160046,6914022463399529221
160047,6907384058272107269
160048,7023552548930161414
160049,6882469929434581761
160050,6905910311962839814
160051,6910378003092720390
160052,6957135789159353093
160053,6906761289561803525
160054,6917685314555431686
160055,6914747337227127558
160056,6519847273625555968
160057,6913907164029422341
160058,6912077102267730690
160059,7084054974665886470
160060,6914412786114251526
160061,6914892689767287557
160062,7097019462829804294
160063,6900932520666270465
160064,7084309288151272198
160065,7093237940561660678
160066,310534516345884672
160067,6907387982081215237
160068,6915169547003759365
160069,6905041549785058054
160070,6910716369810115334
160071,7076191837303655174
160072,6918429249754188550
160073,6915533773392186114
160074,7083397347912239877
160075,6909652735776312070
160076,6909471220203260674
160077,319161926679191552
160078,6911830317707856646
160079,6912097256657226501
160080,7086086291179227909
160081,6913464150836628226
160082,6874648571124255489
160083,6944194164649200390
160084,6913996654177716998
160085,6913980439040756485
160086,6908939944467794694
160087,6906905108433488645
160088,7089447534921468677
160089,7068321680296987397
160090,6911063259126811394
160091,6930372257437043462
160092,6917676957333670662
160093,313804814969434112
160094,6909863802473368326
160095,7079998863708310277
160096,6912447573441874694
160097,7084445990530435845
160098,6914055969962035974
160099,6918423322468403970
160100,6914984700863924993
160101,6890334952420870914
160102,6907770302487481094
160103,6979693747877448454
160104,6913568450942225157
160105,6883947036601879298
160106,6902433051281279745
160107,6909959523167996678
160108,6948142288350612230
160109,6947377429967112965
160110,7023088949056768773
160111,6912864181830142725
160112,7034296644287875845
160113,6891437306385877761
160114,6942705655929244421
160115,7086942766547913477
160116,7031446868870383618
160117,7038527884033641242
160118,7033757948535180058
160119,7035590247018777371
160120,7028584007780616987
160121,6730363919174469634
160122,7125624291827140610
160123,6911909991641369349
160124,6913677270578219778
160125,6910456213201357574
160126,6916897493502397190
