,Identifier
320000,7138550974586554369
320001,7053382178645788673
320002,7066791461145070342
320003,7094273628937800491
320004,7066961645817383686
320005,7082041207060253446
320006,7071075153370761989
320007,7094224296595180293
320008,7036425611279075330
320009,7060959176888978182
320010,7091688694683355909
320011,7048458055473695515
320012,7047387993593662235
320013,6758536002626652162
320014,6781370295736338433
320015,7083770185093482497
320016,296114294465773568
320017,6921513379576154114
320018,6931054194954766338
320019,6931292767649794050
320020,6926282260630996993
320021,6900204949968276229
320022,5000000001058959891
320023,6781947592403060737
320024,6898672170772203521
320025,7034965136720841474
320026,7015811735542401793
320027,7028606132327320322
320028,7025670297915362049
320029,7025726131336760065
320030,7025948745669954305
320031,7090832663862397698
320032,7025423553126206210
320033,6557292065976226816
320034,97422948
320035,50222084
320036,6999579956225247234
320037,6709400346029983745
320038,219583414184865792
320039,7017496334685014790
320040,6931616687561951233
320041,6902577779192187650
320042,5000000001369964765
320043,6719161959419217921
320044,6545490104708764672
320045,6546983289205298191
320046,7045649750284094209
320047,246002419636113408
320048,6785041110923233282
320049,5000000000325474907
320050,7054220794683017990
320051,7095921283929852699
320052,7093751245432785691
320053,7090476419200845825
320054,7090475128995203073
320055,7090185216773326850
320056,173551976033579008
320057,169626419348578304
320058,249673859241549825
320059,6583264712597703429
320060,7239507363190802433
320061,6704951512382048258
320062,6704951693445957633
320063,7078647516069169926
320064,7083887492612541210
320065,7005173532473068315
320066,7005958659633105690
320067,7091507415769713434
320068,7087237861220567835
320069,6991798335392811803
320070,7093701424990800667
320071,7092993507886975771
320072,6981267691453663245
320073,6980261280451938315
320074,7093838087642270470
320075,7074134735085193990
320076,6911345820227193606
320077,7093894468528524058
320078,6918732360192199429
320079,6905935111066258182
320080,6914864245650033413
320081,6914850047620434690
320082,6918065577491778310
320083,6911936431342603010
320084,6914071187928959745
320085,6909687577750702850
320086,6920671396792257281
320087,6999360837949410049
320088,6913700482871610118
320089,6918785767405865733
320090,6918897455614511877
320091,6917251888723299077
320092,6918805084570798853
320093,6918003370393357062
320094,6913414471033588486
320095,6914709336602217217
320096,6913634594004994817
320097,6912004798749379330
320098,6914492975993506566
320099,6907262642273012486
320100,6915618938881608454
320101,6916552425621293826
320102,6914742510887881477
320103,6911386729123482374
320104,6912908445146483462
320105,7087981161032551173
320106,6915769580636015362
320107,6905646166168308481
320108,6895657738114845441
320109,6918949564045101825
320110,6890309511446334214
320111,6869465011320802049
320112,6889520961805224710
320113,6916132999612402434
320114,6880536795692518145
320115,6905785679733721858
320116,7057069916368734982
320117,6908902917856594694
320118,6915769961113750274
320119,6898599912091470597
320120,6915004165828070146
320121,7092647277369527066
320122,6918777270282881793
320123,6855986567907920645
320124,6911340265777498882
320125,6908785820409383685
320126,6917772604031945473
320127,6913133912441424641
320128,6914970019529362178
320129,6914885886320593666
320130,6916487986112678657
320131,6915132937201634054
320132,6828170045160540934
320133,6887155061768735489
320134,6907318701964446470
320135,7090638058273524485
