,Identifier
80000,7012954488180852738
80001,6944332711326648322
80002,6999842678573631490
80003,6941201087828101122
80004,7044661167708489730
80005,6943973945687164930
80006,6973743229762013186
80007,6941201095586760706
80008,6906954339450669058
80009,6915903574765587202
80010,6876922384834660354
80011,7037425345204603649
80012,7001477757351824134
80013,7046357280085788673
80014,7010310475749525505
80015,7047635568347318274
80016,7031251020780931074
80017,6925979284818151425
80018,6959683158077884418
80019,6717870970612221953
80020,6886251002337429505
80021,7101754296093379333
80022,6941059005234022401
80023,7026859880451442690
80024,7063514840241523461
80025,7088344022531820294
80026,6910139034941524737
80027,6962017865750808578
80028,6907096511914543873
80029,6878999755104602882
80030,6918279474479926018
80031,6887884351153982210
80032,6908892853557136130
80033,6905379855622212354
80034,6914486005211024130
80035,6906821741646367490
80036,6910042383308606210
80037,6913423063438658305
80038,6902182098891705089
80039,6911796525492423429
80040,6883955495770524417
80041,6882784324987472641
80042,6916878071073082118
80043,6912039692489771777
80044,6916908504477403910
80045,6908859372454382338
80046,6889168767298243330
80047,6909108095574739718
80048,6911571356685486854
80049,6908487570762533637
80050,6915981420850612993
80051,6912175481320213253
80052,6879439781021960962
80053,6916128329699429122
80054,6906460067680275202
80055,6915946861476088577
80056,6899403893814348546
80057,6908625394686020354
80058,7043059644345535259
80059,6842634921849260801
80060,6939129779916458754
80061,6911670603644734209
80062,7051265845297040129
80063,7060647395746548527
80064,7071268095515888386
80065,7019426201592793862
80066,6786834074964068354
80067,7049482286399638277
80068,7102732217658379054
80069,7055531336320976898
80070,6799358079990237186
80071,6968522345313765377
80072,6995088702238214918
80073,6703134430522771457
80074,7027725416752253722
80075,6887249927408257794
80076,7064721271464691713
80077,6958934881233603333
80078,7001645562785270533
80079,6807714910500292609
80080,7063056503648815106
80081,7069859616590399490
80082,6965142889571617537
80083,6963409769876948994
80084,7058407248107702274
80085,6927189270096529409
80086,7010973356275108610
80087,6897231594503800833
80088,7062499483057948673
80089,6956163063524149250
80090,6904735844544808962
80091,6949247996207597569
80092,7062710832576104450
80093,7060056509145450497
80094,6999616081023207426
80095,7069009411578153729
80096,7077698520701995010
80097,6831256210109384705
80098,6756108407775692802
80099,7080218817229522946
80100,7080003247701674779
80101,6984561403059243010
80102,6989797711713142786
80103,7086115681918044162
80104,7036553329886889985
80105,7000172679483541505
80106,7014421227674536709
80107,6993837152107530241
80108,7061549911703177989
80109,6973980283435485185
80110,7004789151212030721
80111,7036805069886966534
80112,7100128015291648774
80113,6937272326065015554
80114,7081687718568134658
80115,7051718500833822721
80116,6764061075290720257
80117,7000708661320386562
80118,7104656229036754946
80119,7092473688016800517
80120,7057158790739069723
80121,7103924393744091138
80122,7044635879784073217
80123,6955538430793140225
80124,7055119014384633858
80125,7034590819742910465
80126,7047450080000870401
80127,7104537758886004738
80128,7093932700263794689
80129,7094061989915265025
80130,7060546153728706561
80131,7015454302055434242
80132,7083831738329221122
80133,7117768543432607745
80134,7086791172919872282
80135,7056276441880709914
80136,7092358906479266587
80137,7115168905420621825
80138,7113756690658363393
80139,7039007365148068634
80140,7118464329506097153
80141,7123160726683781122
80142,6985080115801623298
80143,6926500308847691778
80144,7057632885297940481
80145,7063215898241042433
80146,6780873420486739969
80147,7120231785069283330
80148,7089407776979437569
80149,7089707539557796610
80150,7139926749533440001
80151,7111974842622035969
80152,7067301720469604354
80153,7059474129506584578
80154,7143308666156877825
80155,7087875211688774426
80156,6889830226772101121
80157,7080863890422138881
80158,7114679356751874049
80159,7142782574711015426
80160,7103233180370619137
80161,7099118760354663169
80162,7097969327646755586
80163,7100642227416337154
80164,7091118263723100162
80165,7086537229140527105
80166,7142540695750838274
80167,6984860300059084801
80168,7010583248862447617
80169,6913636449783008002
80170,6913633772789435137
80171,6943592527740028929
80172,7136404470841214978
80173,7151937221208049666
80174,7085537695736285186
80175,7112473815816341505
80176,7158078878802528257
80177,7146308611513042946
80178,7090942908227930114
80179,7073364197412702209
80180,7091368756856752902
80181,7086650376581875713
80182,7086161049975523330
80183,6974151788232461062
80184,7124727531638392834
80185,7109006218563160066
80186,7131502002999150594
80187,7099584905092286466
80188,7122282607877818370
80189,7010532179683837954
80190,6891554261990263554
80191,7109985422805059585
80192,7100898985799321601
80193,7112602669230852098
80194,7080223953704192002
80195,7072786790540658690
80196,7151782474400401409
80197,7117565947405142017
80198,7123201940905560066
80199,7111263597023463426
80200,7116576334012221441
80201,7163689963769300993
80202,7162189974819833857
80203,7168766760059930626
80204,7114184492708792322
80205,7164911326752409601
80206,7132280271683995650
80207,7159553106018043905
80208,7017885020048182021
80209,7112844446428825602
80210,7161176450530281474
80211,6952988208783198210
80212,6919664730026018817
80213,7145406490671597569
80214,7015487492644588289
80215,7098259945862219777
80216,7130786095075166210
80217,7138597439270815745
80218,7166771862028945410
80219,7171031948779849729
80220,5000000000269772746
80221,7114354563095742465
80222,7122057890814232578
80223,7129466381301221378
80224,7006326599234619393
80225,5000000000553409062
80226,7159666564503963650
80227,6737510083887908866
80228,7177072382996121601
80229,7185337338111739905
80230,6946974847088052997
80231,7099435317609908226
80232,5000000000174781651
80233,7190573139095455746
80234,7132454325200914434
